gpu_count,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
6,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.75,B,copy-based,1027146,1007424,1062247,1947.1428599244898,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,1.0,A,pointer-sharing,45,44,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,1.0,B,copy-based,997432,987900,1035129,2005.149223205191,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.0,A,pointer-sharing,44,41,55,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.0,B,copy-based,951523,951501,952939,2101.893490751143,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.25,A,pointer-sharing,46,45,57,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.25,B,copy-based,987713,952459,1032148,2024.8796968350118,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.5,A,pointer-sharing,48,41,57,41666666.666666664,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.5,B,copy-based,967866,964612,974963,2066.401753961809,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.75,A,pointer-sharing,44,41,48,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,0.75,B,copy-based,955941,954734,960606,2092.179329059011,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,1.0,A,pointer-sharing,44,42,52,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,erdos_renyi,2000,1.0,B,copy-based,966436,956147,979911,2069.4593330546463,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.0,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.0,B,copy-based,947553,947185,948156,2110.6998764185223,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
